11x11.txt:Stall:482875	W0_Idle:222525	W0_Scoreboard:290462	W1:717614	W2:371876	W3:233316	W4:163204	W5:119280	W6:94592	W7:84976	W8:68096	W9:58368	W10:50682	W11:49754	W12:40816	W13:35856	W14:35584	W15:28800	W16:26880	W17:24528	W18:24912	W19:21248	W20:22752	W21:21632	W22:18048	W23:16832	W24:18576	W25:343049	W26:14672	W27:12768	W28:10256	W29:11968	W30:14464	W31:16272	W32:986475
128x1.txt:Stall:502613	W0_Idle:334728	W0_Scoreboard:363757	W1:931606	W2:462826	W3:291726	W4:198174	W5:155342	W6:126384	W7:100656	W8:90064	W9:75408	W10:71312	W11:64768	W12:59856	W13:47008	W14:39632	W15:38016	W16:34624	W17:32736	W18:29936	W19:34912	W20:26224	W21:26800	W22:27920	W23:27312	W24:27328	W25:27616	W26:24672	W27:22160	W28:23824	W29:17904	W30:16752	W31:18592	W32:1101264
16x16.txt:Stall:524021	W0_Idle:320722	W0_Scoreboard:205257	W1:732420	W2:391168	W3:237886	W4:169712	W5:124564	W6:108352	W7:84122	W8:69456	W9:63882	W10:56400	W11:48736	W12:45472	W13:40560	W14:38976	W15:32736	W16:32464	W17:27952	W18:25296	W19:21808	W20:23728	W21:21728	W22:23008	W23:18608	W24:21488	W25:15728	W26:15856	W27:14944	W28:14896	W29:15072	W30:18032	W31:17104	W32:1227792
16x1.txt:Stall:21631	W0_Idle:129584	W0_Scoreboard:3512325	W1:1442338	W2:711928	W3:417124	W4:301092	W5:229188	W6:186352	W7:153808	W8:123920	W9:108336	W10:92656	W11:83680	W12:80336	W13:61248	W14:56400	W15:56592	W16:2493952	W17:0	W18:0	W19:0	W20:0	W21:0	W22:0	W23:0	W24:0	W25:0	W26:0	W27:0	W28:0	W29:0	W30:0	W31:0	W32:0
1x128.txt:Stall:599590	W0_Idle:125875	W0_Scoreboard:293573	W1:895870	W2:438206	W3:301298	W4:194538	W5:144260	W6:116160	W7:102954	W8:87904	W9:79360	W10:71968	W11:65632	W12:57696	W13:51264	W14:44016	W15:44704	W16:38368	W17:31392	W18:30752	W19:31504	W20:33392	W21:27312	W22:26800	W23:25040	W24:26576	W25:26576	W26:24368	W27:23248	W28:20832	W29:20912	W30:17104	W31:21216	W32:1095296
1x16.txt:Stall:23562	W0_Idle:144856	W0_Scoreboard:3526718	W1:1442606	W2:676600	W3:415812	W4:298612	W5:213738	W6:179120	W7:158202	W8:139568	W9:111120	W10:98512	W11:91680	W12:87184	W13:69568	W14:58640	W15:60480	W16:2468784	W17:0	W18:0	W19:0	W20:0	W21:0	W22:0	W23:0	W24:0	W25:0	W26:0	W27:0	W28:0	W29:0	W30:0	W31:0	W32:0
1x1.txt:Stall:182494	W0_Idle:110416	W0_Scoreboard:29947314	W1:55778034	W2:0	W3:0	W4:0	W5:0	W6:0	W7:0	W8:0	W9:0	W10:0	W11:0	W12:0	W13:0	W14:0	W15:0	W16:0	W17:0	W18:0	W19:0	W20:0	W21:0	W22:0	W23:0	W24:0	W25:0	W26:0	W27:0	W28:0	W29:0	W30:0	W31:0	W32:0
1x256.txt:Stall:639605	W0_Idle:156960	W0_Scoreboard:245089	W1:895870	W2:438206	W3:301298	W4:194538	W5:144260	W6:116160	W7:102954	W8:87904	W9:79360	W10:71968	W11:65632	W12:57696	W13:51264	W14:44016	W15:44704	W16:38368	W17:31392	W18:30752	W19:31504	W20:33392	W21:27312	W22:26800	W23:25040	W24:26576	W25:26576	W26:24368	W27:23248	W28:20832	W29:20912	W30:17104	W31:21216	W32:1095296
1x32.txt:Stall:55179	W0_Idle:116583	W0_Scoreboard:2353878	W1:895870	W2:438206	W3:301298	W4:194538	W5:144260	W6:116160	W7:102954	W8:87904	W9:79360	W10:71968	W11:65632	W12:57696	W13:51264	W14:44016	W15:44704	W16:38368	W17:31392	W18:30752	W19:31504	W20:33392	W21:27312	W22:26800	W23:25040	W24:26576	W25:26576	W26:24368	W27:23248	W28:20832	W29:20912	W30:17104	W31:21216	W32:1095296
1x64.txt:Stall:324860	W0_Idle:134298	W0_Scoreboard:845958	W1:895870	W2:438206	W3:301298	W4:194538	W5:144260	W6:116160	W7:102954	W8:87904	W9:79360	W10:71968	W11:65632	W12:57696	W13:51264	W14:44016	W15:44704	W16:38368	W17:31392	W18:30752	W19:31504	W20:33392	W21:27312	W22:26800	W23:25040	W24:26576	W25:26576	W26:24368	W27:23248	W28:20832	W29:20912	W30:17104	W31:21216	W32:1095296
256x1.txt:Stall:569984	W0_Idle:516459	W0_Scoreboard:230591	W1:931606	W2:462826	W3:291726	W4:198174	W5:155342	W6:126384	W7:100656	W8:90064	W9:75408	W10:71312	W11:64768	W12:59856	W13:47008	W14:39632	W15:38016	W16:34624	W17:32736	W18:29936	W19:34912	W20:26224	W21:26800	W22:27920	W23:27312	W24:27328	W25:27616	W26:24672	W27:22160	W28:23824	W29:17904	W30:16752	W31:18592	W32:1101264
32x1.txt:Stall:14299	W0_Idle:115752	W0_Scoreboard:2316001	W1:931606	W2:462826	W3:291726	W4:198174	W5:155342	W6:126384	W7:100656	W8:90064	W9:75408	W10:71312	W11:64768	W12:59856	W13:47008	W14:39632	W15:38016	W16:34624	W17:32736	W18:29936	W19:34912	W20:26224	W21:26800	W22:27920	W23:27312	W24:27328	W25:27616	W26:24672	W27:22160	W28:23824	W29:17904	W30:16752	W31:18592	W32:1101264
32x8.txt:Stall:591628	W0_Idle:373079	W0_Scoreboard:202829	W1:931606	W2:462826	W3:291726	W4:198174	W5:155342	W6:126384	W7:100656	W8:90064	W9:75408	W10:71312	W11:64768	W12:59856	W13:47008	W14:39632	W15:38016	W16:34624	W17:32736	W18:29936	W19:34912	W20:26224	W21:26800	W22:27920	W23:27312	W24:27328	W25:27616	W26:24672	W27:22160	W28:23824	W29:17904	W30:16752	W31:18592	W32:1101264
4x4.txt:Stall:19383	W0_Idle:133772	W0_Scoreboard:3166477	W1:1107828	W2:557988	W3:329246	W4:222682	W5:163476	W6:123440	W7:100592	W8:92634	W9:75056	W10:61056	W11:62160	W12:61888	W13:54768	W14:55568	W15:68512	W16:2715152	W17:0	W18:0	W19:0	W20:0	W21:0	W22:0	W23:0	W24:0	W25:0	W26:0	W27:0	W28:0	W29:0	W30:0	W31:0	W32:0
64x1.txt:Stall:268737	W0_Idle:118870	W0_Scoreboard:814599	W1:931606	W2:462826	W3:291726	W4:198174	W5:155342	W6:126384	W7:100656	W8:90064	W9:75408	W10:71312	W11:64768	W12:59856	W13:47008	W14:39632	W15:38016	W16:34624	W17:32736	W18:29936	W19:34912	W20:26224	W21:26800	W22:27920	W23:27312	W24:27328	W25:27616	W26:24672	W27:22160	W28:23824	W29:17904	W30:16752	W31:18592	W32:1101264
8x32.txt:Stall:473093	W0_Idle:312795	W0_Scoreboard:244372	W1:628310	W2:332830	W3:220652	W4:145546	W5:108122	W6:95050	W7:77178	W8:59418	W9:54752	W10:45056	W11:39760	W12:35760	W13:32224	W14:30304	W15:27072	W16:28560	W17:22704	W18:20160	W19:19600	W20:19760	W21:17280	W22:17152	W23:16752	W24:17552	W25:15248	W26:14112	W27:13792	W28:15632	W29:17696	W30:19120	W31:22080	W32:1287648
8x8.txt:Stall:271448	W0_Idle:105714	W0_Scoreboard:591806	W1:628310	W2:332830	W3:220652	W4:145546	W5:108122	W6:95050	W7:77178	W8:59418	W9:54752	W10:45056	W11:39760	W12:35760	W13:32224	W14:30304	W15:27072	W16:28560	W17:22704	W18:20160	W19:19600	W20:19760	W21:17280	W22:17152	W23:16752	W24:17552	W25:15248	W26:14112	W27:13792	W28:15632	W29:17696	W30:19120	W31:22080	W32:1287648
