kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 3383609 42590893 0 0 0 0 0 0 0 
_1.ptx 98 : 3383609 44260436 0 0 0 0 0 0 0 
_1.ptx 99 : 3383609 29562806 0 0 0 0 0 0 0 
_1.ptx 100 : 3383609 34316932 0 0 0 0 0 0 0 
_1.ptx 101 : 3383609 575377 0 0 0 0 0 0 21630 
_1.ptx 103 : 3318262 13009645 0 0 0 0 0 0 0 
_1.ptx 104 : 3318262 41892110 0 0 0 0 0 0 0 
_1.ptx 105 : 3318262 47284867 0 0 0 0 0 0 0 
_1.ptx 107 : 3318262 12349501 0 0 0 0 0 0 0 
_1.ptx 108 : 3318262 42772137 0 0 0 0 0 0 0 
_1.ptx 109 : 3318262 42782679 0 0 0 0 0 0 0 
_1.ptx 111 : 3318262 42333959 0 0 0 0 0 0 0 
_1.ptx 112 : 3318262 29642351 0 0 0 0 0 0 0 
_1.ptx 113 : 3318262 33730901 0 0 0 0 0 0 0 
_1.ptx 114 : 3318262 29381329 0 0 0 0 0 0 0 
_1.ptx 117 : 65536 279776 0 0 0 0 0 0 0 
_1.ptx 119 : 65536 751072 0 0 0 0 0 0 0 
_1.ptx 120 : 65536 832320 0 0 0 0 0 0 0 
_1.ptx 121 : 65536 629856 0 0 0 0 0 0 0 
_1.ptx 122 : 65536 251584 0 0 0 0 0 0 0 
_1.ptx 123 : 65536 830464 0 0 0 0 0 0 0 
_1.ptx 124 : 65536 4221952 26656 0 0 65536 2048 0 0 
_1.ptx 126 : 65536 556896 0 0 0 0 0 0 0 
_1.ptx 64 : 65536 506912 0 0 0 0 0 0 0 
_1.ptx 65 : 65536 503328 0 0 0 0 0 0 0 
_1.ptx 66 : 65536 970336 0 0 0 0 0 0 0 
_1.ptx 67 : 65536 507200 0 0 0 0 0 0 0 
_1.ptx 68 : 65536 801952 0 0 0 0 0 0 0 
_1.ptx 69 : 65536 4646752 128 0 0 0 0 0 0 
_1.ptx 70 : 65536 623712 0 0 0 0 0 0 0 
_1.ptx 71 : 65536 550368 0 0 0 0 0 0 0 
_1.ptx 72 : 65536 799168 0 0 0 0 0 0 0 
_1.ptx 73 : 65536 593280 0 0 0 0 0 0 0 
_1.ptx 74 : 65536 3602880 0 0 0 0 0 0 0 
_1.ptx 75 : 65536 513152 0 0 0 0 0 0 0 
_1.ptx 76 : 65536 815200 0 0 0 0 0 0 0 
_1.ptx 78 : 65536 511904 0 0 0 0 0 0 0 
_1.ptx 79 : 65536 524512 0 0 0 0 0 0 0 
_1.ptx 80 : 65536 1119296 0 0 0 0 0 0 0 
_1.ptx 81 : 65536 537792 0 0 0 0 0 0 0 
_1.ptx 82 : 65536 828960 0 0 0 0 0 0 0 
_1.ptx 83 : 65536 623040 0 0 0 0 0 0 0 
_1.ptx 84 : 65536 548064 0 0 0 0 0 0 0 
_1.ptx 85 : 65536 790368 0 0 0 0 0 0 0 
_1.ptx 86 : 65536 224992 0 0 0 0 0 0 0 
_1.ptx 87 : 65536 605408 0 0 0 0 0 0 0 
_1.ptx 88 : 65536 3559808 0 0 0 0 0 0 0 
_1.ptx 89 : 65536 560448 0 0 0 0 0 0 0 
_1.ptx 90 : 65536 850112 0 0 0 0 0 0 0 
_1.ptx 91 : 65536 574656 0 0 0 0 0 0 0 
_1.ptx 95 : 3383609 42065255 0 0 0 0 0 0 0 
